City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
80,Yellowknife,CA,62.456,-114.3525,51.42,50,20,11.5,few clouds
81,Iskateley,RU,67.6803,53.1512,35.85,94,66,10.22,broken clouds
82,Ballina,AU,-28.8667,153.5667,58.78,94,32,0.0,scattered clouds
83,Port Alfred,ZA,-33.5906,26.891,57.11,71,40,8.46,light rain
84,Porto Torres,IT,40.835,8.3972,68.18,71,74,4.88,broken clouds
85,Barrow,US,71.2906,-156.7887,30.22,80,90,8.05,overcast clouds
86,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,4.61,broken clouds
87,Nemuro,JP,43.3236,145.575,61.18,86,83,31.29,broken clouds
88,Celestun,MX,20.8667,-90.4,88.34,57,60,7.49,broken clouds
89,Tutoia,BR,-2.7619,-42.2744,89.58,70,48,16.31,scattered clouds
90,Esperance,AU,-33.8667,121.9,42.64,70,72,9.42,broken clouds
91,Havre-Saint-Pierre,CA,50.2334,-63.5986,55.76,58,90,3.44,overcast clouds
92,Benguela,AO,-12.5763,13.4055,72.0,80,90,4.18,overcast clouds
93,Upernavik,GL,72.7868,-56.1549,30.74,92,100,4.88,light snow
94,Kaeo,NZ,-35.1,173.7833,62.33,97,100,11.86,light rain
95,Padang,ID,-0.9492,100.3543,77.43,87,94,2.71,overcast clouds
96,Port Blair,IN,11.6667,92.75,79.77,84,100,7.38,overcast clouds
97,Batsfjord,NO,70.6345,29.7185,51.73,79,100,30.2,overcast clouds
98,Ostrovnoy,RU,68.0531,39.5131,44.51,87,21,20.83,few clouds
99,Sitka,US,57.0531,-135.33,42.69,81,75,5.75,moderate rain
100,Bengkulu,ID,-3.8004,102.2655,75.13,91,100,3.65,overcast clouds
101,Ribeira Grande,PT,38.5167,-28.7,75.6,78,20,11.5,few clouds
102,Palana,RU,59.1167,159.9667,38.46,93,100,29.19,light rain
103,Eureka,US,40.8021,-124.1637,61.99,65,25,5.68,scattered clouds
104,Hobart,AU,-42.8794,147.3294,54.1,96,90,0.0,overcast clouds
105,Connersville,US,39.6412,-85.1411,73.51,82,100,12.91,overcast clouds
106,Sao Filipe,CV,14.8961,-24.4956,80.38,76,100,7.02,overcast clouds
107,Buston,TJ,40.2342,69.6948,51.98,46,20,11.18,few clouds
108,Yulara,AU,-25.2406,130.9889,55.24,38,0,6.91,clear sky
109,Lulea,SE,65.5842,22.1547,51.87,76,90,25.32,light rain
110,Bluff,NZ,-46.6,168.3333,44.8,84,100,23.2,light rain
111,Saraland,US,30.8207,-88.0706,82.65,85,100,6.64,light rain
112,Pevek,RU,69.7008,170.3133,23.65,91,99,8.37,overcast clouds
113,Enid,US,36.3956,-97.8784,79.14,40,1,7.0,clear sky
114,Abalak,RU,58.1286,68.5944,31.62,83,100,9.66,overcast clouds
115,Jamestown,US,42.097,-79.2353,71.19,85,90,8.99,overcast clouds
116,Airai,TL,-8.9266,125.4092,59.22,71,12,1.16,few clouds
117,Isangel,VU,-19.55,169.2667,75.31,88,5,3.44,clear sky
118,Raudeberg,NO,61.9875,5.1352,58.78,54,91,10.0,overcast clouds
119,Torbay,CA,47.6666,-52.7314,61.29,80,75,2.3,broken clouds
120,Ewa Beach,US,21.3156,-158.0072,80.69,80,40,5.75,light intensity drizzle
121,Turukhansk,RU,65.8167,87.9833,30.13,98,99,4.12,overcast clouds
122,Montepuez,MZ,-13.1256,38.9997,72.81,56,21,10.83,few clouds
123,Bumba,CD,2.1833,22.4667,77.02,69,88,3.02,overcast clouds
124,Saint-Philippe,RE,-21.3585,55.7679,72.99,82,44,14.58,light rain
125,Khatanga,RU,71.9667,102.5,17.55,94,98,10.83,overcast clouds
126,Carnarvon,AU,-24.8667,113.6333,62.67,77,0,16.11,clear sky
127,Gornopravdinsk,RU,60.05,69.9,31.06,88,100,7.85,overcast clouds
128,Tiksi,RU,71.6872,128.8694,24.51,90,96,10.25,overcast clouds
129,Richards Bay,ZA,-28.783,32.0377,60.75,85,100,6.08,light rain
130,Constitucion,CL,-35.3333,-72.4167,59.11,53,0,19.62,clear sky
131,Saint-Jean-Port-Joli,CA,47.2171,-70.2658,62.91,74,10,18.3,clear sky
132,Coquimbo,CL,-29.9533,-71.3436,62.33,59,0,13.8,clear sky
133,Kargopol,RU,61.5071,38.9456,39.65,88,16,4.63,few clouds
134,Olafsvik,IS,64.8945,-23.7142,41.25,90,100,35.03,overcast clouds
135,Bambous Virieux,MU,-20.3428,57.7575,72.21,88,75,13.8,broken clouds
136,Sinnamary,GF,5.3833,-52.95,85.86,64,35,11.39,scattered clouds
137,Cehegin,ES,38.0924,-1.7985,74.71,63,100,15.28,overcast clouds
138,Ornskoldsvik,SE,63.2909,18.7153,51.62,100,90,19.57,light rain
139,Puri,IN,19.8,85.85,82.92,76,8,11.63,clear sky
140,Victor Harbor,AU,-35.5667,138.6167,57.29,85,9,21.59,light rain
141,Luoyang,CN,34.6836,112.4536,70.63,96,100,11.5,light rain
142,Sal Rei,CV,16.1833,-22.9167,86.2,70,20,11.5,few clouds
143,Hermanus,ZA,-34.4187,19.2345,54.9,71,37,7.11,scattered clouds
144,Bereda,ES,43.2686,-7.5406,56.95,90,11,2.37,few clouds
145,Chuy,UY,-33.6971,-53.4616,61.56,55,26,12.21,scattered clouds
146,Ugoofaaru,MV,5.6667,73.0,82.18,77,10,17.18,clear sky
147,Sydney,AU,-33.8679,151.2073,64.36,74,0,0.0,clear sky
148,Grindavik,IS,63.8424,-22.4338,48.15,81,0,24.16,clear sky
149,Farso,DK,56.7728,9.3393,53.8,93,100,10.6,overcast clouds
150,Khao Yoi,TH,13.2403,99.8243,77.92,85,97,1.5,heavy intensity rain
151,Burgeo,CA,47.6167,-57.6152,56.32,71,36,11.7,scattered clouds
152,Russell,US,32.3502,-85.1999,81.68,69,75,3.44,broken clouds
153,Upata,VE,8.0086,-62.3989,84.2,71,96,5.66,overcast clouds
154,Huautla,MX,21.0333,-98.2833,80.1,69,54,6.71,broken clouds
155,Pasighat,IN,28.0667,95.3333,73.53,97,100,2.73,overcast clouds
156,Saint George,US,37.1041,-113.5841,86.47,21,1,3.0,clear sky
157,Kaspiyskiy,RU,45.3929,47.3707,57.38,57,100,22.12,overcast clouds
158,Torbat-E Jam,IR,35.244,60.6225,52.97,31,0,11.81,clear sky
159,Kidal,ML,18.4411,1.4078,90.63,11,38,10.8,scattered clouds
160,Saint-Pierre,RE,-21.3393,55.4781,73.08,70,40,2.3,scattered clouds
161,Douala,CM,4.0483,9.7043,80.51,89,75,3.44,thunderstorm
162,Beringovskiy,RU,63.05,179.3167,38.55,99,100,4.23,overcast clouds
163,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,73,40,12.66,scattered clouds
164,Tual,ID,-5.6667,132.75,80.73,66,100,6.64,overcast clouds
165,Seoul,KR,37.5683,126.9778,71.04,77,75,8.05,broken clouds
166,East London,ZA,-33.0153,27.9116,56.34,82,20,0.0,light rain
167,Paoua,CF,7.2427,16.4406,70.61,93,100,2.53,light rain
168,Ayni,TJ,39.3941,68.5377,53.82,68,7,4.65,clear sky
169,Maldonado,UY,-34.6667,-54.9167,58.39,57,8,14.74,clear sky
170,Hlotse,LS,-28.8718,28.045,52.54,35,0,4.0,clear sky
171,Lompoc,US,34.6391,-120.4579,97.11,45,1,4.61,clear sky
172,Waipawa,NZ,-41.4122,175.5153,51.46,92,100,3.65,light rain
173,Alyangula,AU,-13.8483,136.4192,80.47,78,90,5.75,overcast clouds
174,Sidney,AU,-33.8679,151.2073,64.36,74,0,0.0,clear sky
175,Lamphun,TH,18.25,98.9167,75.51,97,94,1.68,overcast clouds
176,Tahe,CN,52.3333,124.7333,29.34,82,1,3.15,clear sky
177,Saskylakh,RU,71.9167,114.0833,16.77,93,98,10.45,overcast clouds
178,Mwene-Ditu,CD,-7.0,23.45,69.62,86,100,2.91,overcast clouds
179,Marsh Harbour,BS,26.5412,-77.0636,80.92,64,0,10.87,clear sky
180,Hamilton,US,39.1834,-84.5333,72.25,94,90,9.22,light rain
181,Roebourne,AU,-20.7833,117.1333,69.3,65,0,8.43,clear sky
182,San Patricio,US,28.017,-97.5169,90.01,54,82,8.05,broken clouds
183,La Rioja,ES,42.25,-2.5,49.48,84,92,4.29,overcast clouds
184,Iqaluit,CA,63.7506,-68.5145,44.33,61,75,5.01,broken clouds
185,Mount Gambier,AU,-37.8333,140.7667,49.91,93,75,11.5,light rain
186,Westport,US,41.1415,-73.3579,79.29,62,1,1.01,clear sky
187,Amapa,BR,1.0,-52.0,95.09,33,100,4.47,overcast clouds
188,Palmer,US,42.1584,-72.3287,74.68,69,90,4.61,overcast clouds
189,Qaanaaq,GL,77.484,-69.3632,31.69,98,100,7.43,light snow
190,Muswellbrook,AU,-32.2667,150.9,52.32,76,3,3.36,clear sky
191,Bom Jesus,BR,-9.0744,-44.3586,99.16,18,56,7.54,broken clouds
192,Poum,NC,-20.2333,164.0167,74.19,87,0,14.94,clear sky
193,Mahibadhoo,MV,3.7833,72.9667,83.48,76,9,16.98,clear sky
194,Okhotsk,RU,59.3833,143.3,32.11,72,0,21.74,clear sky
195,Laguna,US,38.421,-121.4238,86.23,31,1,4.61,clear sky
196,Jiuquan,CN,39.7432,98.5174,45.99,43,100,7.4,overcast clouds
197,Meulaboh,ID,4.1363,96.1285,75.38,86,22,3.85,few clouds
198,Flinders,AU,-34.5833,150.8552,62.19,79,96,1.01,overcast clouds
199,Mosquera,CO,4.7059,-74.2302,71.69,37,40,6.91,scattered clouds
200,Kununurra,AU,-15.7667,128.7333,71.58,78,68,2.3,broken clouds
201,Balakhta,RU,55.38,91.6,31.24,68,48,2.17,scattered clouds
202,Barnstaple,GB,51.0802,-4.0581,57.87,79,21,15.03,few clouds
203,Jalu,LY,29.0331,21.5482,75.96,40,0,7.78,clear sky
204,Zhigansk,RU,66.7697,123.3711,25.56,85,93,6.2,overcast clouds
205,Belyy Yar,RU,53.6039,91.3903,26.49,86,34,2.24,mist
206,Ilovlya,RU,49.3033,43.9796,47.5,72,6,7.78,clear sky
207,Cozumel,MX,20.5083,-86.9458,88.0,71,75,4.0,broken clouds
208,Porto Novo,BJ,6.4965,2.6036,82.22,85,9,5.82,clear sky
209,Calamar,CO,10.2511,-74.9146,89.55,72,100,6.55,overcast clouds
210,Avarua,CK,-21.2078,-159.775,75.25,73,75,8.05,broken clouds
211,Piney Green,US,34.716,-77.3202,83.26,57,75,8.05,broken clouds
212,Rock Springs,US,41.5875,-109.2029,69.24,24,1,1.99,clear sky
213,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,100,90,17.27,light intensity drizzle
214,Labuhan,ID,-6.8844,112.2051,78.17,76,100,11.77,overcast clouds
215,Campos Gerais,BR,-21.235,-45.7586,71.71,80,100,1.48,overcast clouds
216,Buraydah,SA,26.326,43.975,90.05,12,2,9.62,clear sky
217,Abhar,IR,36.1468,49.218,57.9,67,1,3.31,clear sky
218,Chokurdakh,RU,70.6333,147.9167,19.99,96,96,8.68,overcast clouds
219,Sens,FR,48.1667,3.3333,54.99,81,100,4.88,overcast clouds
220,Mitsamiouli,KM,-11.3847,43.2844,79.09,69,20,18.41,few clouds
221,Muyezerskiy,RU,63.9333,31.65,44.47,86,9,10.54,clear sky
222,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,83,99,4.23,overcast clouds
223,Itarema,BR,-2.9248,-39.9167,83.8,67,0,20.36,clear sky
224,Aranos,NA,-24.1333,19.1167,60.6,19,0,11.7,clear sky
225,Nanakuli,US,21.3906,-158.1547,80.71,80,40,5.75,light intensity drizzle
226,Borovskoy,KZ,53.8,64.15,32.22,87,60,9.37,broken clouds
227,Leningradskiy,RU,69.3833,178.4167,17.1,84,96,4.63,overcast clouds
228,Anito,PH,12.4497,125.2886,79.11,91,100,11.16,moderate rain
229,Pacific Grove,US,36.6177,-121.9166,93.16,49,1,3.0,clear sky
230,San Ramon,US,37.7799,-121.978,86.11,37,1,1.99,clear sky
231,Nikolskoye,RU,59.7035,30.7861,50.4,85,0,6.71,clear sky
232,French Harbor,HN,16.35,-86.4333,84.2,94,40,8.05,scattered clouds
233,Rio Cuarto,AR,-33.1307,-64.3499,64.17,22,0,18.41,clear sky
234,Bermejo,AR,-32.8833,-68.8,60.71,29,0,8.05,clear sky
235,Lavrentiya,RU,65.5833,-171.0,23.27,71,16,3.83,few clouds
236,Adrar,MR,20.5022,-10.0711,96.66,10,18,3.87,few clouds
237,Kenitra,MA,34.261,-6.5802,72.36,81,56,8.16,broken clouds
238,Karema,TZ,-6.8205,30.4389,78.1,73,95,4.54,overcast clouds
239,Araguacu,BR,-12.9306,-49.8264,94.86,32,100,6.82,overcast clouds
240,Talnakh,RU,69.4865,88.3972,17.92,96,99,1.34,overcast clouds
241,Lagoa,PT,39.05,-27.9833,70.77,92,41,12.26,scattered clouds
242,Drochtersen,DE,53.7102,9.3846,68.25,95,100,10.98,light rain
243,Biak,ID,-0.9131,122.8766,75.61,80,93,7.81,overcast clouds
244,Brae,GB,60.3964,-1.353,49.91,87,100,34.07,overcast clouds
245,Naze,JP,28.3667,129.4833,77.34,63,0,20.11,clear sky
246,Dubbo,AU,-32.25,148.6167,48.33,87,0,0.0,clear sky
247,Surt,LY,31.2089,16.5887,77.45,66,0,15.21,clear sky
248,Parrita,CR,9.5201,-84.3225,88.52,73,100,5.73,overcast clouds
249,Ilulissat,GL,69.2167,-51.1,30.22,64,100,5.75,overcast clouds
250,Senftenberg,DE,51.5167,14.0167,64.11,72,100,9.37,overcast clouds
251,Catamarca,AR,-28.4696,-65.7852,67.59,35,15,6.11,few clouds
252,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,71,40,11.18,scattered clouds
253,Marawi,PH,7.9986,124.2928,66.65,98,100,2.98,overcast clouds
254,Hay River,CA,60.8156,-115.7999,49.98,43,40,10.36,scattered clouds
255,Walvis Bay,NA,-22.9575,14.5053,56.35,76,0,4.61,clear sky
256,Tuatapere,NZ,-46.1333,167.6833,44.82,94,100,3.27,light rain
257,Ust-Omchug,RU,61.15,149.6333,19.08,96,100,8.43,overcast clouds
258,Waingapu,ID,-9.6567,120.2641,75.29,81,75,5.91,broken clouds
259,Verkhnyaya Inta,RU,65.9811,60.3094,30.92,85,66,6.33,broken clouds
260,Pietarsaari,FI,63.65,22.6833,55.53,67,100,3.0,overcast clouds
261,Yei,SS,4.095,30.6779,67.26,94,89,2.71,overcast clouds
262,The Valley,AI,18.217,-63.0578,89.46,62,40,16.11,scattered clouds
263,General Roca,AR,-39.0333,-67.5833,63.0,17,0,16.11,clear sky
264,Savannah Bight,HN,16.45,-85.85,91.45,73,19,6.85,few clouds
265,Gubkinskiy,RU,64.434,76.5026,26.65,86,25,7.23,scattered clouds
266,Magdug,PH,6.5476,126.0951,79.25,81,100,3.69,light rain
267,Haines Junction,CA,60.7522,-137.5108,33.75,100,100,3.44,light rain
268,Bograd,RU,54.2344,90.8328,24.55,67,71,4.41,broken clouds
269,Anori,BR,-3.7728,-61.6442,94.55,42,96,3.76,overcast clouds
270,Rocha,UY,-34.4833,-54.3333,56.7,54,16,14.76,few clouds
271,Nanortalik,GL,60.1432,-45.2371,40.82,72,0,5.23,clear sky
272,Borovsk,RU,55.2064,36.4861,39.7,74,100,4.45,light rain
273,Tafresh,IR,34.692,50.013,58.95,44,0,7.58,clear sky
274,Zanesville,US,39.9404,-82.0132,72.46,89,90,1.99,overcast clouds
275,Daru,PG,-9.0763,143.2092,76.41,89,28,3.8,scattered clouds
276,Qarchi Gak,AF,37.04,66.7889,57.29,18,0,12.17,clear sky
277,Orapa,BW,-21.2833,25.3667,74.43,14,0,9.44,clear sky
278,Miyako,JP,39.6367,141.9525,60.73,84,4,7.65,clear sky
279,Fortuna,US,40.5982,-124.1573,61.72,82,1,9.22,clear sky
280,Masuguru,TZ,-11.3667,38.4167,79.95,45,23,9.82,few clouds
281,Grand Forks,US,47.9417,-97.4337,69.78,45,1,0.0,clear sky
282,Saint-Francois,FR,46.4154,3.9054,55.47,96,90,1.14,light rain
283,Narsaq,GL,60.9167,-46.05,44.82,58,0,5.68,clear sky
284,Kamenka,RU,51.3223,42.7678,44.64,69,0,6.96,clear sky
285,Somerset West,ZA,-34.084,18.8211,58.03,70,12,5.99,few clouds
286,Pokhara,NP,28.2333,83.9833,68.0,95,32,1.43,scattered clouds
287,Boden,SE,65.8252,21.6886,51.8,78,100,14.43,light rain
288,Faanui,PF,-16.4833,-151.75,78.69,70,17,12.01,few clouds
289,Ust-Maya,RU,60.4167,134.5333,29.79,90,100,5.46,overcast clouds
290,Sorong,ID,-0.8833,131.25,77.14,88,100,9.86,overcast clouds
291,Kutum,SD,14.2,24.6667,82.42,24,78,4.05,broken clouds
292,Qujing,CN,25.4833,103.7833,57.97,97,9,4.43,clear sky
293,Kendari,ID,-3.945,122.4989,73.6,95,100,3.4,overcast clouds
294,Riyadh,SA,24.6877,46.7219,87.94,13,9,8.08,clear sky
295,Dauphin,CA,51.1494,-100.0502,71.74,30,1,12.66,haze
296,Vostok,RU,46.4856,135.8833,45.1,97,100,3.53,overcast clouds
297,Bridgton,US,44.0548,-70.7128,57.81,93,100,2.35,overcast clouds
298,Tanabe,JP,33.7333,135.3667,68.43,89,7,6.87,clear sky
299,Klaksvik,FO,62.2266,-6.589,47.32,94,100,38.59,overcast clouds
300,Hovd,MN,48.0056,91.6419,32.63,36,1,3.56,clear sky
301,Cherskiy,RU,68.75,161.3,17.42,97,96,3.53,overcast clouds
302,Amuntai,ID,-2.4177,115.2494,74.34,98,100,1.34,overcast clouds
303,Sretensk,RU,52.2453,117.7093,31.77,78,6,1.34,clear sky
304,Mehamn,NO,71.0357,27.8492,51.75,62,20,25.32,few clouds
305,Mlimba,TZ,-8.8,35.8167,79.21,42,31,5.03,scattered clouds
306,Dubreka,GN,9.7911,-13.5233,84.27,88,96,3.02,overcast clouds
307,Berbera,SO,10.4396,45.0143,90.41,53,100,1.28,overcast clouds
308,Moerai,PF,-22.4333,-151.3333,74.16,78,39,15.05,light rain
309,Mata,PT,40.683,-7.4592,55.92,68,0,7.34,clear sky
310,Kysyl-Syr,RU,63.8986,122.7617,27.12,75,100,2.71,overcast clouds
311,Hofn,IS,64.2539,-15.2082,47.35,80,100,18.34,overcast clouds
