City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
316,Nantucket,US,73.74,scattered clouds,41.2835,-70.0995,Jared Coffin House
319,Puno,PE,65.77,clear sky,-15.8333,-70.0333,Hotel Hacienda Plaza De Armas - Puno
322,Nador,MA,73.47,clear sky,35.174,-2.9287,Hôtel La Giralda
324,West Plains,US,73.22,overcast clouds,36.7281,-91.8524,West Plains Motel
327,Cap Malheureux,MU,72.46,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
331,Atambua,ID,71.78,clear sky,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
335,Nola,IT,72.43,clear sky,40.922,14.5329,Villa Minieri Eventi
340,Poya,NC,71.33,clear sky,-21.35,165.15,
348,Kajiado,KE,66.96,overcast clouds,-1.8524,36.7768,Masai Lodge
349,Faya,SA,66.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
355,Kamaishi,JP,63.12,clear sky,39.2667,141.8833,Hotel Route Inn Kamaishi
356,Kindu,CD,68.68,overcast clouds,-2.95,25.95,Résidence Okanda
358,Bowen,AU,71.82,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
365,Maryville,US,71.85,heavy intensity rain,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
366,Santa Fe,AR,67.75,overcast clouds,-31.6333,-60.7,Conquistador Hotel
369,Cairns,AU,74.07,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
372,Comodoro Rivadavia,AR,64.26,scattered clouds,-45.8667,-67.5,Austral Hotel
373,Katobu,ID,73.56,few clouds,-4.9408,122.5276,La Ode Husein
375,Rongcheng,CN,74.55,clear sky,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
379,Enshi,CN,71.17,clear sky,30.3,109.4833,Moevenpick Enshi
392,Cortez,US,69.93,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
396,Nara,JP,70.97,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
400,Tondano,ID,68.09,overcast clouds,1.3038,124.9112,Villa Bella
416,Gloversville,US,64.65,light rain,43.0528,-74.3438,"Holiday Inn Johnstown-Gloversville, an IHG Hotel"
420,Amarwara,IN,71.74,broken clouds,22.3,79.1667,Study
425,Puerto Madryn,AR,61.56,few clouds,-42.7692,-65.0385,Hotel Tolosa
429,Dengzhou,CN,70.41,moderate rain,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
430,Castrovillari,IT,64.29,few clouds,39.8203,16.2123,AliaJazzHotel B&b- Locanda di Alia
437,Malakal,SS,74.34,clear sky,9.5334,31.6605,Nile Palace Hotel
438,Crotone,IT,69.75,clear sky,39.0851,17.1178,Helios Hotel
439,Chase,CA,65.37,broken clouds,50.8165,-119.6857,Chase Country Inn Motel
442,Tiznit,MA,63.77,overcast clouds,29.5833,-9.5,
444,Santa Vitoria Do Palmar,BR,61.14,broken clouds,-33.5189,-53.3681,Hostel Comodoro
448,Rio Gallegos,AR,60.85,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
455,Teguise,ES,71.82,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
460,Kawalu,ID,70.74,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
468,Ife,NG,73.26,overcast clouds,7.4667,4.5667,"Celebrations Hotel, Ile-Ife"
473,San Vicente,AR,66.81,moderate rain,-26.6167,-54.1333,Complejo Turístico Farelluk
476,Port Hedland,AU,60.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
480,Penarroya-Pueblonuevo,ES,62.71,clear sky,38.3,-5.2667,Casa Rural Los Miraderos De Cristina
483,Muros,ES,62.83,few clouds,42.7762,-9.0603,Apartment Av. Castelao
485,Tsiroanomandidy,MG,73.27,scattered clouds,-18.7667,46.0333,Hotel du Bongolave
492,Sicuani,PE,61.16,overcast clouds,-14.2694,-71.2261,Wilkamayu Hotel
493,Katsuura,JP,70.11,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
499,Ulladulla,AU,61.7,overcast clouds,-35.35,150.4667,Sandpiper Motel
505,Matagami,CA,60.91,clear sky,49.7502,-77.6328,Hôtel Matagami
507,Taltal,CL,64.33,few clouds,-25.4,-70.4833,Residencial Karime
516,Bayir,TR,64.92,clear sky,37.2687,28.2167,Hotel Babadag
518,Yangambi,CD,70.56,broken clouds,0.8102,24.4336,
521,Mikuni,JP,66.11,clear sky,36.2171,136.1519,Haiya
523,Beckley,US,73.83,overcast clouds,37.7782,-81.1882,"Country Inn & Suites by Radisson, Beckley, WV"
527,Bima,ID,74.62,scattered clouds,-8.4667,118.7167,Lambitu Hotel
534,Tukrah,LY,71.37,clear sky,32.5341,20.5791,Lagrota restaurant
535,Saint Anthony,US,72.1,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
